source_path,source_relative_path,stage,input_format,decoder_method,status,input_bytes,output_bytes,expected_length,eof_verified,note
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1995-02-an-evolutionary-transportation-planning-model-structure-and-application/code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/d231.in.Z,code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/d231.in.Z,1,unix_compress_lzw,internal_compress_lzw,partial,94279,4555,,no,compress invalid code 1746 with table end 1402
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1995-02-an-evolutionary-transportation-planning-model-structure-and-application/code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/d231.out.Z,code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/d231.out.Z,1,unix_compress_lzw,internal_compress_lzw,partial,91781,212,,no,compress invalid code 424 with table end 354
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1995-02-an-evolutionary-transportation-planning-model-structure-and-application/code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/mcsummary.Z,code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/mcsummary.Z,1,unix_compress_lzw,internal_compress_lzw,complete,584,1239,,yes,compress stream reached clean input exhaustion; no original length field exists
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1995-02-an-evolutionary-transportation-planning-model-structure-and-application/code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/mcsummary.Z,code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/mcsummary.Z,2,unknown,,terminal_plain_or_unknown,1239,1239,,yes,no further pack/compress magic detected
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1995-02-an-evolutionary-transportation-planning-model-structure-and-application/code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/plt.lan1990.Z,code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/plt.lan1990.Z,1,unix_compress_lzw,internal_compress_lzw,partial,269419,148,,no,compress invalid code 437 with table end 362
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1995-02-an-evolutionary-transportation-planning-model-structure-and-application/code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/plt.vcr1990.Z,code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/plt.vcr1990.Z,1,unix_compress_lzw,internal_compress_lzw,partial,478841,133,,no,compress invalid code 446 with table end 354
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1995-02-an-evolutionary-transportation-planning-model-structure-and-application/code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.521dd.Z,code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.521dd.Z,1,unix_compress_lzw,internal_compress_lzw,partial,16357,3435,,no,compress invalid code 1686 with table end 1450
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1995-02-an-evolutionary-transportation-planning-model-structure-and-application/code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.531.Z,code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.531.Z,1,unix_compress_lzw,internal_compress_lzw,partial,17636,364,,no,compress invalid code 451 with table end 449
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1995-02-an-evolutionary-transportation-planning-model-structure-and-application/code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.531act.Z,code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.531act.Z,1,unix_compress_lzw,internal_compress_lzw,partial,6767,1047,,no,compress invalid code 880 with table end 772
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1995-02-an-evolutionary-transportation-planning-model-structure-and-application/code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.531wct.Z,code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.531wct.Z,1,unix_compress_lzw,internal_compress_lzw,partial,23344,1263,,no,compress invalid code 871 with table end 824
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1995-02-an-evolutionary-transportation-planning-model-structure-and-application/code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.611.Z,code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.611.Z,1,unix_compress_lzw,internal_compress_lzw,partial,229561,2104,,no,compress invalid code 1081 with table end 1033
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1995-02-an-evolutionary-transportation-planning-model-structure-and-application/code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.611int.Z,code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.611int.Z,1,unix_compress_lzw,internal_compress_lzw,partial,109473,1027,,no,compress invalid code 848 with table end 656
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1995-02-an-evolutionary-transportation-planning-model-structure-and-application/code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.AO1990.Z,code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.AO1990.Z,1,unix_compress_lzw,internal_compress_lzw,partial,1488,3409,,no,compress invalid code 1704 with table end 1361
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1995-02-an-evolutionary-transportation-planning-model-structure-and-application/code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.critical.Z,code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.critical.Z,1,unix_compress_lzw,internal_compress_lzw,partial,11830,1467,,no,compress invalid code 857 with table end 784
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1995-02-an-evolutionary-transportation-planning-model-structure-and-application/code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.DT1990.Z,code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.DT1990.Z,1,unix_compress_lzw,internal_compress_lzw,partial,1435,97,,no,compress invalid code 431 with table end 338
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1995-02-an-evolutionary-transportation-planning-model-structure-and-application/code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.interdesc.Z,code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.interdesc.Z,1,unix_compress_lzw,internal_compress_lzw,partial,14288,4755,,no,compress invalid code 1712 with table end 1450
/Users/dlev2617/Documents/Code/Agents/github-packages/READY-TO-UPLOAD/PUBLIC/paper-1995-02-an-evolutionary-transportation-planning-model-structure-and-application/code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.LU1990.Z,code/legacy/model_archive/t2dyn_evolutionary_model/t2dyn/modelv/rf1990apm/rep.LU1990.Z,1,unix_compress_lzw,internal_compress_lzw,partial,1912,114,,no,compress invalid code 323 with table end 321
